trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-001900-001-000-1,O-20240101-005800-001-000-2,BUY,FLAT,0.000,0.010,1704068340000000000,2024-01-01 00:19:00+00:00,1704070680000000000,2024-01-01 00:58:00+00:00,2340000000000,2999.3,3003.56,['0.02401144 USDT'],0.00142,0.01858856 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-010800-001-000-3,O-20240101-011200-001-000-4,BUY,FLAT,0.000,0.010,1704071280000000000,2024-01-01 01:08:00+00:00,1704071520000000000,2024-01-01 01:12:00+00:00,240000000000,3005.26,3000.78,['0.02402416 USDT'],-0.00149,-0.06882416 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-020500-001-000-5,O-20240101-021200-001-000-6,BUY,FLAT,0.000,0.010,1704074700000000000,2024-01-01 02:05:00+00:00,1704075120000000000,2024-01-01 02:12:00+00:00,420000000000,2993.57,2990.6,['0.02393668 USDT'],-0.00099,-0.05363668 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-022000-001-000-7,O-20240101-022600-001-000-8,BUY,FLAT,0.000,0.010,1704075600000000000,2024-01-01 02:20:00+00:00,1704075960000000000,2024-01-01 02:26:00+00:00,360000000000,2995.49,2989.67,['0.02394064 USDT'],-0.00194,-0.08214064 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-024800-001-000-9,O-20240101-025300-001-000-10,BUY,FLAT,0.000,0.010,1704077280000000000,2024-01-01 02:48:00+00:00,1704077580000000000,2024-01-01 02:53:00+00:00,300000000000,2989.03,2986.63,['0.02390264 USDT'],-0.0008,-0.04790264 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-030000-001-000-11,O-20240101-032700-001-000-12,BUY,FLAT,0.000,0.010,1704078000000000000,2024-01-01 03:00:00+00:00,1704079620000000000,2024-01-01 03:27:00+00:00,1620000000000,2989.11,2990.54,['0.02391860 USDT'],0.00048,-0.00961860 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-034200-001-000-13,O-20240101-034400-001-000-14,BUY,FLAT,0.000,0.010,1704080520000000000,2024-01-01 03:42:00+00:00,1704080640000000000,2024-01-01 03:44:00+00:00,120000000000,2990.52,2989.13,['0.02391860 USDT'],-0.00046,-0.03781860 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-034500-001-000-15,O-20240101-035600-001-000-16,BUY,FLAT,0.000,0.010,1704080700000000000,2024-01-01 03:45:00+00:00,1704081360000000000,2024-01-01 03:56:00+00:00,660000000000,2989.62,2988.57,['0.02391276 USDT'],-0.00035,-0.03441276 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-041300-001-000-17,O-20240101-042300-001-000-18,BUY,FLAT,0.000,0.010,1704082380000000000,2024-01-01 04:13:00+00:00,1704082980000000000,2024-01-01 04:23:00+00:00,600000000000,2986.31,2984.1,['0.02388164 USDT'],-0.00074,-0.04598164 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-042800-001-000-19,O-20240101-044800-001-000-20,BUY,FLAT,0.000,0.010,1704083280000000000,2024-01-01 04:28:00+00:00,1704084480000000000,2024-01-01 04:48:00+00:00,1200000000000,2986.72,2988.95,['0.02390268 USDT'],0.00075,-0.00160268 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-051000-001-000-21,O-20240101-053600-001-000-22,BUY,FLAT,0.000,0.010,1704085800000000000,2024-01-01 05:10:00+00:00,1704087360000000000,2024-01-01 05:36:00+00:00,1560000000000,2989.92,2993.35,['0.02393308 USDT'],0.00115,0.01036692 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-055300-001-000-23,O-20240101-062600-001-000-24,BUY,FLAT,0.000,0.010,1704088380000000000,2024-01-01 05:53:00+00:00,1704090360000000000,2024-01-01 06:26:00+00:00,1980000000000,2995.11,2999.17,['0.02397712 USDT'],0.00136,0.01662288 USDT,True
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-001,O-20240101-064200-001-000-25,O-20240101-065000-001-000-26,BUY,FLAT,0.000,0.010,1704091320000000000,2024-01-01 06:42:00+00:00,1704091800000000000,2024-01-01 06:50:00+00:00,480000000000,2998.49,2993.42,['0.02396764 USDT'],-0.00169,-0.07466764 USDT,True
