trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-001,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-021,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2999.3,0.0,['0.01199720 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,2202eefe-f6d6-424e-93d1-cc1168ab53ea,2024-01-01 00:19:00+00:00,2024-01-01 00:19:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-002,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-061,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,3003.56,0.0,['0.01201424 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fcc6f3c5-bad8-4ce6-bdef-fc2819478ed2,2024-01-01 00:58:00+00:00,2024-01-01 00:58:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-003,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-072,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,3005.26,0.0,['0.01202104 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,0c968259-e40d-4871-a0cb-a636536e0eac,2024-01-01 01:08:00+00:00,2024-01-01 01:08:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-004,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-077,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,3000.78,0.0,['0.01200312 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ad3c7aa4-7d45-4d72-8496-536d5bdb56de,2024-01-01 01:12:00+00:00,2024-01-01 01:12:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-005,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-131,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2993.57,0.0,['0.01197428 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,baaa773f-2188-49b0-96ab-b1d8ac00786e,2024-01-01 02:05:00+00:00,2024-01-01 02:05:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-006,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-139,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,2990.6,0.0,['0.01196240 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,06fc6c92-e062-405b-a724-632f6a2b1fe8,2024-01-01 02:12:00+00:00,2024-01-01 02:12:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-007,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-148,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2995.49,0.0,['0.01198196 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,be0913a9-2dbd-4859-810c-4bd589b7caa5,2024-01-01 02:20:00+00:00,2024-01-01 02:20:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-008,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-155,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,2989.67,0.0,['0.01195868 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,9fc27fe5-3beb-4cb8-abb2-407c4673128d,2024-01-01 02:26:00+00:00,2024-01-01 02:26:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-009,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-178,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2989.03,0.0,['0.01195612 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,399182c7-7a56-42bb-a06c-d973cc263985,2024-01-01 02:48:00+00:00,2024-01-01 02:48:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-010,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-184,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,2986.63,0.0,['0.01194652 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,30ec73ed-399c-47f4-8eb4-79a289ae8572,2024-01-01 02:53:00+00:00,2024-01-01 02:53:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-011,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-192,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2989.11,0.0,['0.01195644 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c58662c6-a4cf-4d8b-b88a-1caa0bd2b6eb,2024-01-01 03:00:00+00:00,2024-01-01 03:00:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-012,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-220,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,2990.54,0.0,['0.01196216 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,1111453b-4315-47d6-ae56-56948af2f056,2024-01-01 03:27:00+00:00,2024-01-01 03:27:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-013,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-236,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2990.52,0.0,['0.01196208 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d23a5f7a-0def-4007-aa63-fff23fc0134f,2024-01-01 03:42:00+00:00,2024-01-01 03:42:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-014,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-239,MARKET,SELL,0.010,GTC,False,False,0.010,TAKER,2989.13,0.0,['0.01195652 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,c685ee3c-ffa1-4301-8182-514344ce3a52,2024-01-01 03:44:00+00:00,2024-01-01 03:44:00+00:00
BACKTESTER-001,DualSMAStrategy-000,ETHUSDT-PERP.BINANCE,BINANCE-1-015,ETHUSDT-PERP.BINANCE-DualSMAStrategy-000,BINANCE-001,BINANCE-1-241,MARKET,BUY,0.010,GTC,False,False,0.010,TAKER,2989.62,0.0,['0.01195848 USDT'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,002fb458-617e-4887-902d-778bc6e41126,2024-01-01 03:45:00+00:00,2024-01-01 03:45:00+00:00
